Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
9Test Suite,Chrome 132.0.6834.160,all test case 21,,03-03-2025 14:03:53,03-03-2025 14:07:17,3m - 23.520s,PASSED
,,,,,,,
Test Cases/verify first page,Chrome 132.0.6834.160,TestCase1,,03-03-2025 14:03:54,03-03-2025 14:04:10,15.898s,PASSED
"openBrowser("""")",Chrome 132.0.6834.160,,,03-03-2025 14:03:55,03-03-2025 14:04:06,11.307s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 132.0.6834.160,,,03-03-2025 14:04:06,03-03-2025 14:04:09,2.704s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""), 0)",Chrome 132.0.6834.160,,,03-03-2025 14:04:09,03-03-2025 14:04:10,1.105s,PASSED
,,,,,,,
Test Cases/verify page 1 header,Chrome 132.0.6834.160,Test case2,,03-03-2025 14:04:10,03-03-2025 14:04:19,8.985s,PASSED
"openBrowser("""")",Chrome 132.0.6834.160,,,03-03-2025 14:04:11,03-03-2025 14:04:15,4.551s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 132.0.6834.160,,,03-03-2025 14:04:15,03-03-2025 14:04:19,3.124s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service/h1_CURA Healthcare Service""), ""CURA Healthcare Service"")",Chrome 132.0.6834.160,,,03-03-2025 14:04:19,03-03-2025 14:04:19,0.548s,PASSED
,,,,,,,
Test Cases/Click on appointment,Chrome 132.0.6834.160,Test case 3,,03-03-2025 14:04:19,03-03-2025 14:04:29,9.763s,PASSED
"openBrowser("""")",Chrome 132.0.6834.160,,,03-03-2025 14:04:20,03-03-2025 14:04:24,4.119s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 132.0.6834.160,,,03-03-2025 14:04:24,03-03-2025 14:04:27,2.783s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 132.0.6834.160,,,03-03-2025 14:04:27,03-03-2025 14:04:28,1.588s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service/h2_Login""), 0)",Chrome 132.0.6834.160,,,03-03-2025 14:04:28,03-03-2025 14:04:29,0.757s,PASSED
,,,,,,,
Test Cases/Login positive,Chrome 132.0.6834.160,Test case 4,,03-03-2025 14:04:29,03-03-2025 14:04:42,13.483s,PASSED
"DATA BINDING - {""(Default) usern..."":""John Doe""}",,,,,,,
"callTestCase(findTestCase(""Click on appointment""), [:], STOP_ON_FAILURE)",Chrome 132.0.6834.160,,,03-03-2025 14:04:30,03-03-2025 14:04:38,8.611s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Username_username""), username)",Chrome 132.0.6834.160,,,03-03-2025 14:04:38,03-03-2025 14:04:39,1.084s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 132.0.6834.160,,,03-03-2025 14:04:39,03-03-2025 14:04:40,0.944s,PASSED
